Priority,Business Name,Type,Street Address,Postal Code,Phone,Rating,Reviews,Why Target,Outreach Angle,Status,Partnership Type
1,FRIQUEST,Pop Culture Gift Shop,Gran Via de les Corts Catalanes 679,08013,+34 932 46 26 55,4.8,1089,Highest rated shop - proven customer loyalty,Customer loyalty tracking & repeat patterns,Not contacted,Lead
1,Om Sai Movil,Mobile Phone Store,C/ de València 536 Encants Nou 64-A,08013,+34 635 25 00 05,5.0,15,Perfect rating - device/warranty tracking needs,Service history & device follow-ups,Not contacted,Lead
1,SONANI MOVILES,Mobile Phone Store,Calle Valencia 536 Encants Nous 64,08013,+34 931 48 03 62,5.0,12,Perfect rating - needs service history tracking,Repair reminders & customer loyalty,Not contacted,Lead
1,Trendy Closet,Women's Clothing Boutique,Carrer de Mallorca 410,08013,+34 663 17 40 25,3.1,8,Active boutique with regular customer base,Customer follow-ups & preference tracking,Not contacted,Lead
1,The SimplyCity,Marketing Consultant,Carrer d'Aragó 366,08009,+34 684 71 40 75,5.0,26,Can refer to their small business clients,Referral partnership for their clients,Not contacted,Partnership
2,Mi Tienda,Women's Clothing Boutique,Carrer de Mallorca 364,08013,Need to find,4.4,77,Established boutique with strong reviews,Style recommendations & customer data,Not contacted,Lead
2,eComm360,E-commerce & Tech Solutions,Pl. d'Urquinaona 6,08010,+34 933 90 31 37,4.8,34,Tech company serving e-commerce shops,Integration partnership - Odoo/PrestaShop,Not contacted,Partnership
2,Cloudworks Sagrada Familia,Coworking Space,Carrer de Sardenya 229,08013,+34 930 18 09 15,4.6,194,100+ members needing business tools,Bulk licensing & member referrals,Not contacted,Partnership
2,Sagrada Familia Souvenir Shop,Tourist Gift Shop,Carrer de la Marina s/n,08013,+34 934 58 41 85,4.0,235,High traffic shop - needs customer tracking,Customer analytics & visitor identification,Not contacted,Lead
2,Emporio Souvenirs Barcelona,Tourist Gift Shop,Carrer de Mallorca 416,08013,+34 932 46 59 47,3.5,91,Service improvement opportunity,Staff coordination & customer feedback,Not contacted,Lead
3,Spain and France Accountants,Accounting Services,C/ de Padilla 219,08013,+34 644 39 26 38,4.8,72,Serve small business clients,Referral for clients who need CRM,Not contacted,Referral
3,Smmart Services,Legal & Administrative,Carrer de Trafalgar 36,08010,+34 932 68 18 36,4.8,245,Client base with biz management needs,Bundle offer for their customers,Not contacted,Referral
3,OAE - Barcelona Activa,Business Service Office,Carrer de Roc Boronat 117,08018,+34 900 533 175,4.4,34,Help new business startups,Recommend NexusCRM to new owners,Not contacted,Referral
4,KÁLÍ,General Store & Home Goods,C/ de Padilla 198,08013,+34 649 83 78 30,No Rating,No Reviews,New store with growth potential,Customer base building - early adoption,Not contacted,Lead
